node1	label	node2
QRX317541	P31	Q28885102
QRX1151131	P31	Q28885102
QRX1151133	P31	Q28885102
QRX1656334	P31	Q28885102
QRX1656335	P31	Q28885102
QRX1656336	P31	Q28885102
QRX1656337	P31	Q28885102
QRX1656338	P31	Q28885102
QRX1656340	P31	Q28885102
QRX1656342	P31	Q28885102
QRX1656343	P31	Q28885102
QRX1656344	P31	Q28885102
QRX1656345	P31	Q28885102
QRX1656346	P31	Q28885102
QRX1656347	P31	Q28885102
QRX1656348	P31	Q28885102
QRX1656349	P31	Q28885102
QRX1656350	P31	Q28885102
QRX1656351	P31	Q28885102
QRX1656352	P31	Q28885102
QRX1656353	P31	Q28885102
QRX1656354	P31	Q28885102
QRX1656355	P31	Q28885102
QRX1656356	P31	Q28885102
QRX317541	P3345	"317541"
QRX317541	description	'dose form'@en
QRX317541	label	'Oral Tablet'@en
QRX1151131	P3345	"1151131"
QRX1151131	description	'dose form group'@en
QRX1151131	label	'Oral Product'@en
QRX1151133	P3345	"1151133"
QRX1151133	description	'dose form group'@en
QRX1151133	label	'Pill'@en
QRX1656334	P3345	"1656334"
QRX1656334	description	'clinical drug component'@en
QRX1656334	label	'sacubitril 24 MG'@en
QRX1656335	P3345	"1656335"
QRX1656335	description	'clinical drug component'@en
QRX1656335	label	'valsartan 26 MG'@en
QRX1656336	P5806	"764145006"
QRX1656336	P5806	"764145006"
QRX1656336	P3345	"1656336"
QRX1656336	description	'clinical dose form group'@en
QRX1656336	label	'sacubitril / valsartan Oral Product'@en
QRX1656337	P3345	"1656337"
QRX1656337	description	'clinical dose form group'@en
QRX1656337	label	'sacubitril / valsartan Pill'@en
QRX1656338	P3345	"1656338"
QRX1656338	description	'clinical dose form'@en
QRX1656338	label	'sacubitril / valsartan Oral Tablet'@en
QRX1656340	P3345	"1656340"
QRX1656340	description	'clinical drug'@en
QRX1656340	label	'sacubitril 24 MG / valsartan 26 MG Oral Tablet'@en
QRX1656340	alias	'sacubitril 24 MG / valsartan 26 MG Oral Tablet'@en
QRX1656342	P3345	"1656342"
QRX1656342	description	'branded drug component'@en
QRX1656342	label	'sacubitril 24 MG / valsartan 26 MG [Entresto]'@en
QRX1656343	P3345	"1656343"
QRX1656343	description	'branded dose form'@en
QRX1656343	label	'sacubitril / valsartan Oral Tablet [Entresto]'@en
QRX1656344	P3345	"1656344"
QRX1656344	description	'branded dose form group'@en
QRX1656344	label	'Entresto Oral Product'@en
QRX1656345	P3345	"1656345"
QRX1656345	description	'branded dose form group'@en
QRX1656345	label	'Entresto Pill'@en
QRX1656346	P3345	"1656346"
QRX1656346	description	'branded drug'@en
QRX1656346	label	'sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto]'@en
QRX1656346	alias	'Entresto 24 MG / 26 MG Oral Tablet'@en
QRX1656346	alias	'Entresto (sacubitril 24 MG / valsartan 26 MG) Oral Tablet'@en
QRX1656347	P3345	"1656347"
QRX1656347	description	'clinical drug component'@en
QRX1656347	label	'sacubitril 49 MG'@en
QRX1656348	P3345	"1656348"
QRX1656348	description	'clinical drug component'@en
QRX1656348	label	'valsartan 51 MG'@en
QRX1656349	P3345	"1656349"
QRX1656349	description	'clinical drug'@en
QRX1656349	label	'sacubitril 49 MG / valsartan 51 MG Oral Tablet'@en
QRX1656349	alias	'sacubitril 49 MG / valsartan 51 MG Oral Tablet'@en
QRX1656350	P3345	"1656350"
QRX1656350	description	'branded drug component'@en
QRX1656350	label	'sacubitril 49 MG / valsartan 51 MG [Entresto]'@en
QRX1656351	P3345	"1656351"
QRX1656351	description	'branded drug'@en
QRX1656351	label	'sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto]'@en
QRX1656351	alias	'Entresto 49 MG / 51 MG Oral Tablet'@en
QRX1656351	alias	'Entresto (sacubitril 49 MG / valsartan 51 MG) Oral Tablet'@en
QRX1656352	P3345	"1656352"
QRX1656352	description	'clinical drug component'@en
QRX1656352	label	'sacubitril 97 MG'@en
QRX1656353	P3345	"1656353"
QRX1656353	description	'clinical drug component'@en
QRX1656353	label	'valsartan 103 MG'@en
QRX1656354	P3345	"1656354"
QRX1656354	description	'clinical drug'@en
QRX1656354	label	'sacubitril 97 MG / valsartan 103 MG Oral Tablet'@en
QRX1656354	alias	'sacubitril 97 MG / valsartan 103 MG Oral Tablet'@en
QRX1656355	P3345	"1656355"
QRX1656355	description	'branded drug component'@en
QRX1656355	label	'sacubitril 97 MG / valsartan 103 MG [Entresto]'@en
QRX1656356	P3345	"1656356"
QRX1656356	description	'branded drug'@en
QRX1656356	label	'sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto]'@en
QRX1656356	alias	'Entresto 97 MG / 103 MG Oral Tablet'@en
QRX1656356	alias	'Entresto (sacubitril 97 MG / valsartan 103 MG) Oral Tablet'@en
QRX1656349	P3640	"000078077767"
QRX1656346	P3640	"00078065961"
QRX1656349	P3640	"000078077720"
QRX1656354	P3640	"000078069667"
QRX1656351	P3640	"00078077767"
